main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
COMPUTERS,"Learning devices, technology consultation/procurement/training for local school districts",https://app.leg.wa.gov/billsummary?BillNumber=1365&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1365,301 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Procuring and supporting appropriate computers and devices for public school students and instructional staff.,"Gregerson, Stonier, Ramos, Callan, Simmons, Jesse Johnson, Taylor, Lovick, Leavitt, Ortiz-Self, Berg, Fitzgibbon, Ryu, Morgan, Wicks, Tharinger, Duerr, Ormsby, Hansen, Berry, Dolan, Valdez, Cody, Bronoske, Senn, Bateman, Bergquist, Kloba, Riccelli, Davis, Macri, Ramel, Harris-Talley, Pollet, Sells",No Requester,34,1
COMPUTERS,"Learning devices, technology grant program, establishing, OSPI role",https://app.leg.wa.gov/billsummary?BillNumber=1365&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1365,301 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Procuring and supporting appropriate computers and devices for public school students and instructional staff.,"Gregerson, Stonier, Ramos, Callan, Simmons, Jesse Johnson, Taylor, Lovick, Leavitt, Ortiz-Self, Berg, Fitzgibbon, Ryu, Morgan, Wicks, Tharinger, Duerr, Ormsby, Hansen, Berry, Dolan, Valdez, Cody, Bronoske, Senn, Bateman, Bergquist, Kloba, Riccelli, Davis, Macri, Ramel, Harris-Talley, Pollet, Sells",No Requester,34,1
COMPUTERS,"Learning devices/computers/peripheral devices, procurement program for schools",https://app.leg.wa.gov/billsummary?BillNumber=1450&Year=2021&Initiative=false,HB 1450,Education,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Procuring, and supporting the use of, appropriate computers and devices for public school students and instructional staff by levying a tax on wireless devices.","Gregerson, Stonier, Tharinger, Dolan, Fitzgibbon, Hansen, Lovick, Berry, Callan, Ryu, Taylor, Davis, Wicks, Simmons, Valdez, Senn, Jesse Johnson, Ramel, Kloba, Bergquist, Ormsby, Riccelli, Pollet, Ortiz-Self, Duerr, Hackney, Thai, Berg, Harris-Talley, Macri",No Requester,29,1
COMPUTERS,"Online marketplaces, high-volume third-party sellers on, requirements",https://app.leg.wa.gov/billsummary?BillNumber=5533&Year=2021&Initiative=false,SB 5533,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning online marketplace consumer product theft and safety protection.,"Keiser, King, Conway, Dhingra, Kuderer, Lovick, Randall, Rivers, Schoesler, Claire Wilson",No Requester,7,5
COMPUTERS,"Personal data, businesses controlling/processing, Washington foundational data privacy act",https://app.leg.wa.gov/billsummary?BillNumber=1850&Year=2021&Initiative=false,2nd Substitute - 2SHB 1850,Rules/RET,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Protecting and enforcing the foundational data privacy rights of Washingtonians.,"Slatter, Berg, Pollet, Harris-Talley",No Requester,4,1
COMPUTERS,"Personal data, businesses controlling/processing, Washington privacy act",https://app.leg.wa.gov/billsummary?BillNumber=5062&Year=2021&Initiative=false,2nd Substitute - 2SSB 5062,Rules 3,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the management, oversight, and use of data.","Carlyle, Nguyen, Billig, Darneille, Das, Dhingra, Holy, Hunt, Lovelett, Mullet, Pedersen, Salomon, Sheldon, Wellman, Claire Wilson",No Requester,13,3
COMPUTERS,"Personal data, regarding public health emergency, privacy in private and public sectors",https://app.leg.wa.gov/billsummary?BillNumber=5062&Year=2021&Initiative=false,2nd Substitute - 2SSB 5062,Rules 3,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the management, oversight, and use of data.","Carlyle, Nguyen, Billig, Darneille, Das, Dhingra, Holy, Hunt, Lovelett, Mullet, Pedersen, Salomon, Sheldon, Wellman, Claire Wilson",No Requester,13,3
COMPUTERS,"Personal data, Washington state consumer data privacy commission, creating",https://app.leg.wa.gov/billsummary?BillNumber=1850&Year=2021&Initiative=false,2nd Substitute - 2SHB 1850,Rules/RET,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Protecting and enforcing the foundational data privacy rights of Washingtonians.,"Slatter, Berg, Pollet, Harris-Talley",No Requester,4,1
COMPUTERS,"Personal information, captured biometric, people's privacy act provisions concerning",https://app.leg.wa.gov/billsummary?BillNumber=1433&Year=2021&Initiative=false,HB 1433,Civil R & Judi,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Creating a charter of people's personal data rights.,"Kloba, Sutherland, Ryu, Jesse Johnson, Valdez, Dolan, Young, Ramel, Bergquist, Eslick, Jacobsen, Harris-Talley",No Requester,9,5
COMPUTERS,"Personal information, captured, processing by business entities, individual's rights and opt-in consent for",https://app.leg.wa.gov/billsummary?BillNumber=1433&Year=2021&Initiative=false,HB 1433,Civil R & Judi,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Creating a charter of people's personal data rights.,"Kloba, Sutherland, Ryu, Jesse Johnson, Valdez, Dolan, Young, Ramel, Bergquist, Eslick, Jacobsen, Harris-Talley",No Requester,9,5
