REAL ESTATE AND REAL PROPERTY,"Manufactured homes, as real property, clarifying when and providing a process for establishing",https://app.leg.wa.gov/billsummary?BillNumber=2072&Year=2021&Initiative=false,HB 2072,Civil R & Judi,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the classification of manufactured homes as real property.,"Steele, Sutherland",No Requester
REAL ESTATE AND REAL PROPERTY,"Mortgage lending fraud prosecution account, delaying expirations of account and surcharge deposited in",https://app.leg.wa.gov/billsummary?BillNumber=1104&Year=2021&Initiative=false,HB 1104,31 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Extending the operation of the mortgage lending fraud prosecution account until June 30, 2027.","Ryu, Kloba",Department of Financial Institutions
REAL ESTATE AND REAL PROPERTY,"Mortgage loan originators, with loan agency, working from own residence",https://app.leg.wa.gov/billsummary?BillNumber=5077&Year=2021&Initiative=false,SB 5077,15 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Providing authority to licensed companies to allow licensed mortgage loan originators to work from their residences without the company licensing the residence as a branch office of the company.,"Dozier, Mullet, Brown, Das, Warnick, Wilson, C.",Department of Financial Institutions
REAL ESTATE AND REAL PROPERTY,"Public property, surplus, disposal for affordable housing as public benefit purpose, requirements for",https://app.leg.wa.gov/billsummary?BillNumber=1908&Year=2021&Initiative=false,Substitute - SHB 1908,Rules C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Addressing surplus public property for affordable housing.,"Steele, Santos, Eslick, Graham, Macri",No Requester
REAL ESTATE AND REAL PROPERTY,"Public property, surplus, intergovernmental disposition of, ""affordable housing"" for purposes of",https://app.leg.wa.gov/billsummary?BillNumber=1511&Year=2021&Initiative=false,HB 1511,"Hous, Human Sv","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Defining affordable housing for purposes of using surplus public property for public benefit.,"Bergquist, Taylor, Santos, Thai, Ormsby, Slatter, Hackney, Lekanoff",No Requester
REAL ESTATE AND REAL PROPERTY,"Real property, sale/transfer for affordable housing, real estate excise tax exemption",https://app.leg.wa.gov/billsummary?BillNumber=1643&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1643,199 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Exempting a sale or transfer of real property for affordable housing to a nonprofit entity, housing authority, public corporation, county, or municipal corporation from the real estate excise tax.","Hackney, Stokesbary, Bateman, Ryu, Simmons, Leavitt, Robertson, Walen, Valdez, Paul, Callan, Gilday, Macri, Peterson, Ramos, Chopp, Bergquist, Kloba",No Requester
REAL ESTATE AND REAL PROPERTY,"Real property, sale/transfer for affordable rental housing, real estate excise tax exemption",https://app.leg.wa.gov/billsummary?BillNumber=5642&Year=2021&Initiative=false,Substitute - SSB 5642,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Exempting a sale or transfer of real property for affordable housing to a nonprofit entity, housing authority, public corporation, county, or municipal corporation from the real estate excise tax.","Mullet, Rivers, Gildon",No Requester
REAL ESTATE AND REAL PROPERTY,"Real property, sales under execution, electronic media use for",https://app.leg.wa.gov/billsummary?BillNumber=1271&Year=2021&Initiative=false,Engrossed - EHB 1271,122 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Ensuring continuity of operations in the offices of county elected officials during the current COVID-19 pandemic and future public health crises.,"Orwall, Goehner, Goodman, Thai, Fey, Pollet, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Recording standards for documents, uniform, and recording standards commission",https://app.leg.wa.gov/billsummary?BillNumber=5019&Year=2021&Initiative=false,SB 5019,137 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning the recording standards commission.,"Kuderer, Hunt, Brown, Wilson, C.",No Requester
REAL ESTATE AND REAL PROPERTY,"Residential property, antidisplacement state property tax exemption for portion of assessed value of",https://app.leg.wa.gov/billsummary?BillNumber=1494&Year=2021&Initiative=false,Substitute - SHB 1494,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing housing safety, security, and protection for Washington families by creating the antidisplacement property tax exemption.","Harris-Talley, Berg, Davis, Wicks, Peterson, Ortiz-Self, Orwall, Gregerson, Chapman, Ramel, Simmons, Berry, Lekanoff, Frame, Hackney, Slatter, Duerr, Kirby, Thai, Valdez, Ormsby, Morgan",No Requester
REAL ESTATE AND REAL PROPERTY,"Residential property, multiple-unit/-family housing, definition of and real estate sales excise tax rate for",https://app.leg.wa.gov/billsummary?BillNumber=5757&Year=2021&Initiative=false,SB 5757,Housing & Loca,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Adjusting the real estate excise tax rate for multifamily residential properties.,Gildon,No Requester
REAL ESTATE AND REAL PROPERTY,"Sales of long-term real property assets, capital gains realized from, imposing capital gains tax on",https://app.leg.wa.gov/billsummary?BillNumber=1496&Year=2021&Initiative=false,HB 1496,Finance,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Creating a more progressive tax system in Washington by enacting an excise tax on sales and extraordinary profits of high valued assets.,"Senn, Walen, Davis, Johnson, J., Ramel, Bergquist, Macri, Gregerson, Simmons, Sells, Peterson, Bateman, Berry, Lekanoff, Frame, Fitzgibbon, Duerr, Hackney, Slatter, Kirby, Thai, Chopp, Valdez, Riccelli, Pollet, Ormsby, Harris-Talley, Stonier",No Requester
REAL ESTATE AND REAL PROPERTY,"Smoke control systems, inspection/testing of, alternative to certain contractors/engineers for",https://app.leg.wa.gov/billsummary?BillNumber=5360&Year=2021&Initiative=false,SB 5360,Housing & Loca,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the inspection and testing of fire and smoke control systems.,"Cleveland, Short, Salomon",No Requester
REAL ESTATE AND REAL PROPERTY,"Smoke control systems, installation/inspection/maintenance/testing of",https://app.leg.wa.gov/billsummary?BillNumber=1971&Year=2021&Initiative=false,Substitute - SHB 1971,Rules C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning installation, inspection, testing, and maintenance of smoke control systems and fire dampers, smoke dampers, and combination fire and smoke dampers.","Robertson, Senn, Eslick, Leavitt",No Requester
REAL ESTATE AND REAL PROPERTY,"State lands, state lands development authorities, authorizing formation of",https://app.leg.wa.gov/billsummary?BillNumber=1173&Year=2021&Initiative=false,2nd Substitute - 2SHB 1173,259 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning state lands development authorities.,"Berry, Frame, Dolan, Lekanoff",No Requester
REAL ESTATE AND REAL PROPERTY,"Titles, registrars of, duties required by repeal of chapter 65.12 RCW",https://app.leg.wa.gov/billsummary?BillNumber=1376&Year=2021&Initiative=false,HB 1376,66 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning registration of land titles.,Fey,No Requester
REAL ESTATE AND REAL PROPERTY,"Titles, registry system for, repealing chapter 65.12 RCW",https://app.leg.wa.gov/billsummary?BillNumber=1376&Year=2021&Initiative=false,HB 1376,66 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning registration of land titles.,Fey,No Requester
REAL ESTATE AND REAL PROPERTY,"Titles, registry system for, withdrawal from and discontinuation of, including notice concerning",https://app.leg.wa.gov/billsummary?BillNumber=1376&Year=2021&Initiative=false,HB 1376,66 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning registration of land titles.,Fey,No Requester
REAL ESTATE AND REAL PROPERTY,"Uniform real property electronic recording act, repealing as title and revising chapter",https://app.leg.wa.gov/billsummary?BillNumber=5019&Year=2021&Initiative=false,SB 5019,137 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning the recording standards commission.,"Kuderer, Hunt, Brown, Wilson, C.",No Requester
